EPOCH 150 ,ACC 68.45506666666665
EPOCH 151 ,ACC 68.65613333333332
EPOCH 152 ,ACC 67.62966666666667
EPOCH 153 ,ACC 67.69313333333334
EPOCH 154 ,ACC 67.16406666666667
EPOCH 155 ,ACC 68.15873333333334
EPOCH 156 ,ACC 68.76193333333335
EPOCH 157 ,ACC 68.45493333333333
EPOCH 158 ,ACC 68.70913333333333
EPOCH 159 ,ACC 69.44980000000001
EPOCH 160 ,ACC 69.67193333333333
EPOCH 161 ,ACC 69.58726666666666
EPOCH 162 ,ACC 68.963
EPOCH 163 ,ACC 68.4868
EPOCH 164 ,ACC 67.53439999999999
EPOCH 165 ,ACC 68.27520000000001
EPOCH 166 ,ACC 68.0424
EPOCH 167 ,ACC 68.11639999999998
EPOCH 168 ,ACC 68.92066666666666
EPOCH 169 ,ACC 68.43373333333332
EPOCH 170 ,ACC 69.0052
EPOCH 171 ,ACC 68.42333333333333
EPOCH 172 ,ACC 68.58206666666666
EPOCH 173 ,ACC 68.50786666666666
EPOCH 174 ,ACC 67.69313333333334
EPOCH 175 ,ACC 68.63486666666667
EPOCH 176 ,ACC 68.63486666666667
EPOCH 177 ,ACC 68.2116
EPOCH 178 ,ACC 68.12686666666666
EPOCH 179 ,ACC 68.4444
EPOCH 180 ,ACC 69.926
EPOCH 181 ,ACC 69.71433333333334
EPOCH 182 ,ACC 69.54493333333335
EPOCH 183 ,ACC 69.23813333333334
EPOCH 184 ,ACC 69.37566666666667
EPOCH 185 ,ACC 69.44980000000001
EPOCH 186 ,ACC 69.29106666666668
EPOCH 187 ,ACC 69.06880000000001
EPOCH 188 ,ACC 68.7936
EPOCH 189 ,ACC 69.28046666666667
EPOCH 190 ,ACC 69.38626666666667
EPOCH 191 ,ACC 69.13233333333334
EPOCH 192 ,ACC 68.87826666666666
EPOCH 193 ,ACC 68.32793333333332
EPOCH 194 ,ACC 68.31753333333333
EPOCH 195 ,ACC 68.58186666666667
EPOCH 196 ,ACC 68.33853333333333
EPOCH 197 ,ACC 68.84660000000001
EPOCH 198 ,ACC 69.00533333333333
EPOCH 199 ,ACC 69.3228
EPOCH 200 ,ACC 69.69313333333335
EPOCH 201 ,ACC 69.8624
EPOCH 202 ,ACC 70.2646
EPOCH 203 ,ACC 69.01586666666667
